sentence,hate,category
3739 9129 8167 15367 10 3911 2469 14931 9884 12357 5223 14613 13840 15125 9469 8227 15498 3739 4595 9129 8167 15367 2469 10,1,crime
1269 8581 1819,1,religion
7229 1077 12613 7231,0,entertainment
11695 278 9440,0,politics
3625 8249 3567 2119 10052 5247 6171 3453 11205 9517 9118,0,crime
2615 6844 9154,1,sports
8969 2400 10336 2882 10725 2160,0,entertainment
63 3934 4734 6026 9719 6361 5736 12745 460 11044 6159 9863,0,religion
14355 9863 318 12927 11907 15885 13047 13741 3810 12037 13938 15721 7590 10904 8548,0,entertainment
10221 939 2882 7390 5945,0,sports
7078 10060 14635 8894 10300 8894 12424 5186 9013 1729,0,entertainment
11150 1819 5069 8414 7279 198,1,sports
5325 11947 6158 6743 3552,0,"Meme, TikTok and others"
14093 8510 134 10453 3965 15703,1,sports
15924 6672 15924 8167 15367 15358 6639 6429 13032 464,0,"Meme, TikTok and others"
741 15596 15836 12855 1429 2279 15497,1,"Meme, TikTok and others"
8143 4986,1,entertainment
13789 4986 13356,0,entertainment
12741 13022 1831 9325,0,sports
7820 3733 310 7590 4088 516,0,celebrity
11138 2252 8145,0,crime
14367 8058 414 9150,0,religion
15022 9435 8508 6571 15952 13494 9150,1,"Meme, TikTok and others"
12118 12522 9150 3043 15149 2903 5671 8510 10726 5938 10865 8510 10726 1924 9966 2722 3043,1,religion
741 13134 1819 2895 4012 1527 15656 15952 3167 193 6608 11874 3126 13134 1819 6608,1,religion
14522 10017 9089 7543 11011 4488 11693 7231 10627 7336 13418 12350,0,crime
1429 13047 5113 6393,1,celebrity
7844 7231 14974 601 11225 1197 12281 11465 11687 15600 10122 14773 9749 14710 6362,1,crime
7246 10005 15168,1,sports
5255 14635,0,crime
6317 10486 3288 5351 14055 7457 9479 8186,0,crime
430 1635 8167 2496 3612,1,crime
8058 414 9256 969,1,religion
5069 11823 13985,0,entertainment
3545 13312 11603 9645 15834 13286 12562 2845 854 3375 12586 7247 2779 3545 13312 699 4341 10180 6337 15963 7889 12180 15952 2779 6216 11800 14676 569,1,politics
3043 11376 7231 6216 2419 2615 3631 7037,1,sports
11164 15721 7431 9334 6161 2286 15565 10893 704 11066,1,entertainment
9009 13346 11607 4105 12897,0,sports
12896 8167 9084 13506 2015 6639,0,crime
11693 12613 15268 940,0,sports
347 5157 7231 13047 13801 5606 10984 8695 14584 15514 5109 15436 14805 3964,0,crime
3545 13312 2650 14643 8404 12198 9578 1531,0,politics
170 8994 10570 13047 3869 15678,1,religion
15603 15836 1819 11458 7231,1,religion
3934 2559 10384,0,politics
13087 6540 12112 15733,0,politics
3955 7648 11044 13937 4409 13680 7667 13359 8318 474 11044 11791,0,"Meme, TikTok and others"
12918 7282 7138 13985 4574 14613 434 11849 9907 13814 6993 1429 14075,1,"Meme, TikTok and others"
13441 10676 1518 7138 1092 15189 2519 430 4265 6995 9558 3589 2113 8190 13720,1,crime
723 13631 9010 10849 1819 279 8032 4430 15241 11963 13983 8734 11509 11093 9010 6345 3835 3498 3524 8797 2168 14406,1,sports
13241 139 12939 11321 12108 11584 9633 6879 13241 15144,0,religion
8919 13047 26,1,"Meme, TikTok and others"
4782 9581,1,"Meme, TikTok and others"
7078 8795 8403 6422 14589 5217 4885 2186 14240 4559 340 6900 14368,0,entertainment
3830 1114 15602 138,0,sports
6171 4793 8414,0,"Meme, TikTok and others"
13745 14522 3901 7422 4423 11066 12282 13391 2134,0,celebrity
5395 7000 10109 237 12924 15848 3375 9841,0,politics
15234 741 741 15603 14822 741 13047 6442 14810,1,crime
11334 11127 15811 3584 3411 11212 5661 9818 9777 1790 6156 7078 6156 1790 1105 12202 14685,0,celebrity
9129 12118 11849,1,crime
13047 15096 7231 8312 4831 6903 319 1553 2520 10111 11262 2065 1790 7899 1724 9345 1193 6944 6701 3228 13192 6132 6868 6461 1790 1724 1063 7899 5513 13524 9688 1790 250 13422 13483 4739 6959 1790 1144 15350 7899 6132 7570 550 1870 6132 6959 13524 9688 12900 6288 6185 7841 14265 15524 1790 2212 15890 10236 1809 8312 6796 8710 5069 15673 12939 12384 15890 7570 5207 4717 10821 12939 2204 5160 4531 9878 8393 1790 9629 12746 9862 7230 9115 1790,0,celebrity
8410 8143 1429 340 15410 13283 6702 340 6900 13047 10038,1,entertainment
7667 3905 10388 6868 2679 2154,0,celebrity
11252 14051 766 14051 318 6492 7962 6492 1448 6492,0,religion
10433 8938 13047 624 7229 7209 12981 10226 11820 831 139 2942 12814 13875,1,politics
3625 15603 2153 8119 11934 8191 14423 1504 4012 9084 7570 14053 14103 5069,0,politics
13047 10208 7190 10295 9089 12586 1143 10840 5604,0,"Meme, TikTok and others"
1210 8496 4717 12687 6144 732,1,politics
495 1819 2615,1,politics
15570 14613 8766,1,sports
15908 4405 11963 11874,1,religion
8469 3753 11791 11695 13785 11776 10952 7078 3782 14780 13174 4950 15120 11343 1832,1,sports
10342 10821 13298 3811 13247 11013 8313 4936 5569 23 14893 9901 5894 7428 6171 883 6956 4052 4635 11657,0,"Meme, TikTok and others"
11935 15913 14440 26,1,"Meme, TikTok and others"
4117 12202 13939 5014 11978,0,sports
4304 11195 3718 15106,0,celebrity
1429 741 3360 8789 3043 7138 8939 14822 9479 6311,1,religion
4260 12151 5785 7078 2980 15927 11329 1770 8984 11777 4305 15252 7230 3459 10426 15123,0,sports
9522 817 10005 15916 10005,1,crime
8124 14724 9049 12159 4370 7669 2656 13072 56,1,entertainment
3530 10315 6068 5705 11001 13359 2500,0,sports
11376 12798 9317 15603 13324 6844 5501 8369 13047 14853 1670 11736,1,sports
7368 3253 2984 9115 6831,0,"Meme, TikTok and others"
7078 3739 12918 5981 6519 10535 13326 5219 9912 9836,1,crime
12301 8249 15152 7570 11343 246 10361,1,entertainment
1026 536 9048 1802,0,celebrity
11849 12519,1,religion
1884 11730 1152 8993,1,entertainment
7078 11042 4650,0,religion
3044 831 9408 14098 968 9408 1996 5852 2548 13891,0,celebrity
7138 246 8179 8996 7138 134 4284 7138 134 2964 9115 3567,0,entertainment
6553 8411 13691 2724 14742 4564 550 8972 5025 261 9244,0,celebrity
11150 1819 13047 8393 10394 10171 8510 13934,1,entertainment
13430 15811 9208 12613 3759 10443 15286,1,sports
15021 14682 217 13047 7231 1156 6474 15274 9089 1269 13954 12121 10117 5655 9984 9056 2648 10117 13329 3675 3000 1156 10583 7439 3630 12790 2153 12526,0,crime
2113 14635 753 10095,0,religion
3869 7897 6026 8890 13552 2958 6026 9010 11613 6288,1,sports
3712 15583 10633 4717 12322,0,entertainment
509 3 15954 509 6573 5049 13647 14951 6091 12183 3625 8385 13279 4535 14066 10178 3696 8815 10000 2177 2189 15603 12821 10911 2023 10099 8510 6632 3696 6632 6091 12183 3977 741 710,1,crime
7376 13430 741 6949 3433 12822 7667 1269 7230 6401 11764 5475,1,celebrity
8619 987,0,sports
12374 1800,0,religion
9999 13938 3777 11926 704 7667 736 10388 15289 11968 9865 409 1308 6418,1,celebrity
11167 6900 7078 1770 9479 15436 2045 14187,0,politics
11703 4752 7971 1269 3261 7163 11030 5362 840 12868 5536 13876 15892 8102 13216 15600 14981,1,crime
9129 5973 10636 11203 10595 5595 6887 3110 14663,1,crime
26 15068 7570 15049 6077 10484 9150,1,politics
7367 13827 3278 4176 4012 13354 3613 681 624 7229 12505 10159 1790 1969 7421 11570 11952 6513 13693 12344 4529 4320 3613 12414 5606 8800 1343 10035 7570 12322 6587 3613 681 15811 6134 7230 7848 11693 10336 14227 8143 10486 3613 12414 10336 10953 7229 6134 15328 905 298 8100 1790,0,sports
6393 12987 11509 4635,1,religion
8956 13938 3586 6037 13504,1,politics
5085 4618 5880 6485 10306 6492 3169 11749 15050 5448 9072 2460 14981 193 2641 9477 4523 2325 4523 1819,1,religion
9150 1487 7867 10904 4151 1297 14186 10511 4814 13454 9382 14184 3059 985,0,celebrity
12384 5403 15096 5395 4141 1709 14180 5395 7752,0,politics
15460 4852 11583 1787 5017 6408 9310 9653 11134 5017 9084 15458,1,crime
469 8510 11458 2782,1,"Meme, TikTok and others"
15836 10343 71 10568 8176 1429 939,1,religion
9558 13990 464,1,crime
11376 6158 741 3360 13047 6518 1819,1,sports
9224 3314,1,"Meme, TikTok and others"
26 11683 6679 12821 1957 14635 13990 13261 13261 13261,1,crime
13534 13534,0,"Meme, TikTok and others"
4818 11001 1487 14382 5179 1949 9674 13283 4760 9861 13467 15118,0,politics
14607 2411 14914 2551 14574,1,politics
11376 12918 9154 1429 9230 7080 3253,1,sports
15201 14081 11377,0,"Meme, TikTok and others"
3702 5417 3883,0,entertainment
11871 11220 8695 10914 7962 4288,0,religion
14440 26 12202 5603,1,"Meme, TikTok and others"
7590 6571 10336 246 461 8729 741 7230 10579 7231 6687 12840 246 3043 1924 12976 4331,1,crime
11960 8617 7943 10050 7359 14686 3848 15631 11868 3141 6635 10399 1983 11046 14977 11413 14684 8463 4071,0,celebrity
11376 66 1143 15525 15749 3043 13047 2454,1,sports
8408 1834 556 6051 15830,1,entertainment
1069 12118 14944 3586 9435 6607 11150 3968 13779 1819,1,crime
13693 4176 5027 5027 3253 1343 13359 9459,0,sports
26 13939 13441 15913 1300,1,crime
5017 11443 1343 1984 15111 14981 11947 11327 3709,1,crime
8745 12613 2575,0,entertainment
9225 8496,1,politics
1026 7536 7570 7651,0,celebrity
9594 14072 6512 9154,1,sports
11376 5197 6485 10664 10382 10749 10178 14227 15214 1790 10486 15118 2159 8177 1790 8038 13192 5080 1790 831 4815 7457 5927 3934 1790 11777 11376 5197 6485 7138 12202,1,sports
11388 10336 10626 11343 9799 8393 1670 15241 14103 6759 2336,1,crime
11734 5642 6664 11179 13813 7141 7346 9485 11791 3733 12019 11217 6805 3353 10336 9660 7144 3298 4580 7209 11693 2735 5642 247 5578,1,celebrity
10557 2731 1429 3552,0,celebrity
9467 9154 11922 7570 7119,1,sports
8616 13651 4773 13651 2211 13651 10532 13651 8967 5073 2776 5073 7171 5073 13958 5073 14925 14210,0,celebrity
831 11488 3043 8143,1,entertainment
15096 11063 4509 4635 3256 15105 1275 9701 13271 9003 8579 14988,0,entertainment
1091 8606 6794 11918,0,entertainment
6694 4993 15515 7956 13916 563 6694 13904 7649 6540 240 9318 11892 9318 1270 11908 12120 831 10326 11642 15556 12407 1940 14999 13590 6540 6707 6551 8848 9949 12419 7570 12897,0,crime
951 8035 4366 11867 14575 6171 14865,0,"Meme, TikTok and others"
5845 10795 11802 10852 4736 8863 4635 9150 2984 199 10795 7868 15924,1,"Meme, TikTok and others"
7400 5821 8765 8480 14421 5179 14683 12209 8715 7888 11920 13327 6859 11819 15464 11150 10336 5402 14519 15464 15878 8004 10992 5965 420 12003 12003 12042 8495 774,0,celebrity
7868,1,politics
8177 1819 8370 6829 13884 5444,1,sports
3228 6317 10763 8944 148 6151 4859 328 4500 5523 15633 11489 4859 3849 4859 14208,0,celebrity
3043 1429 14290 8054 10336 12855 2270 2199 11364 14270 5467,1,"Meme, TikTok and others"
11376 12828 14175 12437 13496 15782 5699,1,sports
1026 9479 2134 3439 1770 9479 4116 13131 12202 3439 1770 7247 875 9479 4116 10336 13954 2548 15071 11343 3472 11791 11343 6411 7231 1186 10634 14981 15210 9155 8220 11791 7038 7231 5306 11030 3425 13016 3199 15362 1026 7571 6277,0,celebrity
12519 9615 1587 5057 15583 15676 4374,1,"Meme, TikTok and others"
15512,0,politics
2602 5027 15021 11043 12268 11706 6133 6905 14676 6587 7231 11745 12306 15021 5930 4284 10151 9989 6429 5501 7428 14571 5501 1657 6429 3003 15952 11706 8989 6133 6766 1657 5072 217 11043 2519 10620 11541 4307 4076 14881 12954 8717 921 854 3375 13468 11791 5043 14187 13329 5096 11791 12803 1385 11657,0,crime
7138 438 2528 4495 15075 5237 1903,1,sports
14356 7231 12108 13178 2067 9220 6171 14661 2067 5442 15216 2428 13178 5181 3134 2237 11993 6171 3433 13144 14661 9638 4052 13089 15132 5513 9121,0,religion
11505 7791 2621,1,"Meme, TikTok and others"
2246 13693 4671 7930 7528 12457 12487,0,entertainment
12064 339 11509 8410 11859 11862 15320 11859 4638 12813 13430 13047 12191 15776 1497 13973 1429 10258 11862 5736 13845 9546 14440 1429 8054 10258 10504 14177,1,crime
8177 13236 13536 7590 14770 7831 13236 13536 11376 11376 11705 1591 15096 9264 14012 3871 1435 12518 2936 11376 7138 1426 14474,0,sports
9684 2220 14238 4606 13099,1,entertainment
810 13047 26,1,entertainment
1429 14127,1,"Meme, TikTok and others"
14067 6540 3203 9301 11488 11525 11773 14652 11693 7231 9863 1790 12691 2213 5 12691 15968 910 13312 3454 1790 13312 2983 1175 831 13312 5753,1,politics
12117 15396 10926 13312,1,politics
6146 506 13183 967 2007 7945 12598,0,"Meme, TikTok and others"
4141 3602 12857 11355 6147 15518 6158 2801 1819,1,crime
1095 13983 14956 7138 12253 12144 14440 26,1,religion
10068 12918 9154 14724 3733 831 5942 6691,1,sports
10132 9467 13423 741 14600 2611 13852,0,entertainment
8410 3539 9334 3739 3739 15241 7007 13838 10676 3567,1,crime
3586 11370 3370,1,sports
1026 14187 1384 8938 7570 13642 11802 4026 4936 14699 10676 2828 8228 13630 14699 6279 8877 10426 15788 4188 13447 13071 4320 5833 6279 3937 3088 11693 2942 4269 3230 7442 10800 9998 11663 15788 4491 15361 4491 4085 6516 2942 12599 4491 10336 10458 2366 13954 8695 6173 15233 2697 3253 14183 4491 278 6336 14343 14187 12183 1405 6038 12435 5743 1822 12968,0,celebrity
6474 13516 1026 11343 334 11614 7124 11791 13055 9747 5214 2763 7313 13344 6128 9568 14118 6100 11321 5581 7726,0,celebrity
689 1035 2318 15077 5669 13939,0,religion
1429 13047 7962,0,religion
5711 1069 624 13283 13442 1493,1,celebrity
10954 3360 7962,0,religion
14538 14538 14538 15732 10977 1781 15664 12257 6726 6831 4697 8475 10841 4715 10340 13330 157 8436 12278 14416 5983 13867 1580 9389 2172 6938 1580 2500 1790 2215 5927 15096 14655 1740 8221 14187 9431 9405 400 7178 2809 253 13677 3457 14181 12816 10130 14603 5172 14179 8280 13318 9371 13680 14248 13417 14066 15857 4935 2456 8974 5927 1781 5526 11791 7886 5407 10215 13301 5673 586 5254 9405 8528 6831 8809 11648 15032 11085 13514 14004 1654 1580 11932 6831 1159 15717 8093 7475 9405 6906 13047 3361 4849 10602 9405 399 6831 8772 15911 15325 246 699 14158 3871 3007 1008 14004 6639 5067 399 6831 8772 3391 3516 8772 3391 15130 657 8280 13033 537 8280 6359 9348 11432 1300 9894 9573 6601 10051 13073 5736 6831 9607 15061 14430 6257 14790 3567 8621 12886,0,celebrity
6571 1819 15247 13106 2519 1429 1641 13047 6393,1,religion
8143 7229 15721 6477 4012 12807 4837 1187,1,entertainment
15681 12202 4453 2959 14981,0,entertainment
14826 8414 9085 11437,1,sports
13140 4331 13279 6551 7247 15924,0,sports
2615 14098 2615,0,crime
1269 10208 9479 14572 7838 3802 7190 2645 14981 14 2799 14 1128 6991 373 6991 1561 7749 550 9393 13069,0,religion
1269 7078 430 9558 6026 12863 3157 2500 10164 15868 15868 13117,1,entertainment
4770 13047 13423,0,entertainment
12956 10005 7562 8718,1,sports
7770 10992 2241 5106 6533 2427 15826 3062,0,entertainment
15924 7247 15887 13047 14440,1,entertainment
14822 424,0,"Meme, TikTok and others"
5874 3690 9262,1,celebrity
3044 4278 15603 4233 3404 14793 9746 10550 13149 392 8394 4038 13047 6435 10437 6533 68 4815 7890 14981,0,entertainment
8277 509 8277 12613 6487 14458 12782 9505 9479 14277,0,entertainment
15813 3615 10568 452 9788 12979 3262 6831 1790,0,religion
7364 6843 4331 9560 831 7364 12956 4237 12433 13673 3160 1833 7726 6991 5121 10178 3815 406 4016 11579 3815 10465 12091 15094 2357 11757 11910 1081 11212 13673 7667 2763 14116 4022 3253 8103 11927 13635 3253 3538 2545 13192 12118 622,0,sports
11343 9372 10290 245 8757 3894 14613 9256,1,entertainment
10303 8414 15945,1,"Meme, TikTok and others"
5599 8977 430 5599 8896 7513 14575 4786 14575 14982 1490,1,sports
88 3889 605 6337 15913 9256 14575 9998 6141,1,crime
7207 10897 4891 4012 15095 6783 15000 14942 5495 13312,0,politics
11211 6171 2113 9581 8412 2113 6293 13990 2113 14859 3253 3253 12855 5775 3517 14773 5788 2113 13898 1570 11802 10944 13734,1,crime
4410 4257 11791 3733 2486 2783 9526 5027 5714 1959 5714 4172 4311 7154 831 9526 9050 7356 7600 13419 13985 10121 4501 7434 2362 9190 15408 8938 14836 14218 305 3162 13504 1616 1616 15485 8314 15057 15937 10336 8178 15208 14676 13049 11329 1959 5714 8291 7120 12955 1959 977 12092 3942 2906,0,celebrity
11458 4371 4607 732 15603 6544 8122 7292 8219,0,sports
7138 14424 15144 1429 2113 15882 8423 11150 1819,1,sports
1265 2409 13547 3250 4243 13990 12523 11858 7265 14498 3603 6571 56 14649 13047 15924 13680 3973 6571 56 2835 12906,1,"Meme, TikTok and others"
249 15836 1621,1,"Meme, TikTok and others"
7962 4171 10421 1924 13985 13534 15176 391 10085 6158 1924 5922 2697 11905 6587,1,religion
755 8734 11451 5019 12118 5019 12837,1,religion
9137 10136 1300,0,religion
1246 9334 13047 11777 10005 4062 8177 9966,1,sports
741 14298 5176 11044 13064 11978,0,entertainment
14778 11044 11968 13063,0,"Meme, TikTok and others"
15161 13047 10874 454,0,crime
689 7962 11150 1675 8734 1069 12118 10098 6844 7962 1048,1,religion
1269 2623 3248,0,religion
5802 9479 7231 5191 4281 13547 10336 7229 12119 3316 10413 12727 2500 3033 8548 7570 5467 12665 4138 15952 373 8815 12796 12036 1385 3316 10413 2270 5596 3033 8548 10031 10336 7229 5467 4829 3316 10413 3033 2118 11497 6735 61 3934 4415 560,1,celebrity
5185 6480,0,sports
12129 13323 8715 2312 601 12172 14882 2942 278 9846 3567 2204 1026 13726 9293 10893 10462 10893 12379 4278 10462 4137 11151 10837 4776 2175 11395 2348 6720 6584 1269 6750 2136 1937 2752 5502 15412 8461 11212 11605 5303 3890 6255 10550 6540 464 14825 11791 13534 3431 11343 15061 13944 7231 6540 3567 2634 14811 10448 6593 4387,0,celebrity
4133 5460 3091 8393 4839 1770 9913 14635,0,entertainment
14066 6158 13047 10926 13312,1,politics
3615 10568,0,religion
