sentence,hate,category
কাদিরা।পাগলা।একটা। লুচ্চা,1,politics
ওনি ছারের শিখিয়ে দেয়া কথা বলতেছে মনেহয় আরেঐ কুত্তার বাচ্চা দোষ জদি সাংবাদিকের মাপ চাইলো কেনো খমা দৃস্টিতে দেখার কথা কেনো বলছে মাগি জবাব দে।,1,crime
ভাবতেও গিনা লাগে বাংলাদেশ এতো গুলো মানুষের সামনে কিভাবে ছেলেকে এবাবে কুপিয়ে হত্যা,0,crime
কথা 7,0,sports
কুত্তা জুতার মালা পুরো বাংলাদেশ ঘুরানো উচিৎ,1,"Meme, TikTok and others"
গানের মদ্ধে উ লাগিয়ে ফাটাতে নি😂 br গান টা ভালো উ লাগালেও পারতেন,0,entertainment
হাতুরী লীগ ডিম লীগ সাবাস এগিয়ে যাও,0,politics
ডিসলাইক দিছে বলদ মাদারচুদ,1,entertainment
মানুষ নামে জানোয়ার,1,"Meme, TikTok and others"
ধংষের নমুনা,0,politics
অমিত বাড়ৈ,0,celebrity
খানকির পোলা তুই পদত্যাগ কর,1,sports
খেয়ে কাদের খাইয়েছিলো কার জন্ন্য করেছিলো কস্ট অমানুষ গুলাদের আল্লাহ দুনিয়া উঠায়া নেয় জন্ন্য লজ্জা লাগে,0,"Meme, TikTok and others"
মিথ্যা কথা বলবেন,0,religion
প্রথম বিয়ে গোপন দ্বিতীয় বিয়ে রিফাত স্ত্রীর,0,crime
আল্লাহ তায়ালা তকে তুই সপ্নেও ভাবতে পারবি,0,religion
গাড়াগ্রাম পৃথিবীর খেলোয়ার দর্শকদের ইতিহাসে তগুলোতে খেলা ভালো দেখ ঘটে যায় তাড়াত তুই সামান্য একটা বিষয় নিয়ে জার্সি পরা জানোয়ারের বাচ্চা গাঁজাখোর লোকটা কেমন ধরছে পুলিশ এভাবে গাঁজাখোরের বাচ্চা শাস্তি চাই ওরে ওখান সারা জীবনের বের দেয়া মুখ জানে সাথে সাথে জড়িত লোকটাকে হ্যাঁ নাস্তা চামচা গুলো খেলোয়াড়দের বদনাম হয়,1,sports
লুচ্চা ডিসি র দোষ বিএনপি র চক্রান্ত,1,crime
২জন কোথায় বিলুপ্ত,0,entertainment
বোকাচোদা ছেলে তোকে জন্ম দিল তুই গায়ে হাত তুলছিস,1,"Meme, TikTok and others"
বান্দরের চুল নাম রে লটির বাচ্চা,0,entertainment
ভাই দারি তে আপনাকে সুন্দর লাগছে মাসা আল্লাহ,0,politics
সময় মত বয়াসে দাড়ি লাকে কেটে সেফ মোখ দেকতে মহিলার ভুদার মত লাগে মহিলাদের ভুদার বাল কারলে লাগে তেমনি ডিসির মোখটা সেরকম রাকছে,1,crime
বেয়াদব কুতি,0,religion
ছেলেটিকে পুলিশ গ্রেপ্তার ধুম মারধর,0,"Meme, TikTok and others"
ছাগুদের কমেন্ট পড়তে আসলাম। খুব জ্বলা জ্বলছে ছাগুরা।,1,celebrity
অনন্তের ছ উচ্চারণে ঝামেলা,0,entertainment
তেল বাজ শিক্ষক সোনার ছেলেদের বলবেন ৪ সন্তানের জননী ধর্ষণ,0,celebrity
ফাহমি সালা টশা মুরখো সালা,1,entertainment
চারটে কুত্তা একটা মানুষকে ধরেছে কুত্তার ঘেউ ঘেউ শব্দ তে মানুষের শব্দ ক্ষীণ হয়ে আসছে,1,religion
কুত্তালীগ দেশ টারে ধ্বংস দিচ্ছে,1,politics
বক্তা হাফেজ আলেম।,0,religion
ঘর সংসার সিনেমাটা যতবার দেখি ততবারই যেনো মনে প্রথম দেখছি। অসাধারণ। ধন্যবাদ মালেক আফসারিকে।,0,entertainment
দুরো হালা তাসকিন,1,sports
ওরে সংরক্ষিত আসনের এমপির বাড়ির কুত্তা চোদানো,1,entertainment
পা চাটা কুকুররা শান্ত দেশে শান্তি,1,celebrity
পপির দুধ গুলো খুব বড় বড়,1,entertainment
শালা শুয়ার ভূয়া ভিডিও বানানো বিরত থাক।,1,sports
তোমাদের হাতে দরি রানুর আপডেট দিবে ব্লক দিব,0,"Meme, TikTok and others"
বাটপার সালা,1,crime
ওবায়দুল চোর,1,politics
খানকির পোলার দেশের অবস্থা শালারা ঘুষখোর,1,crime
বাবা এগিয়ে যাও তোমার মত সোনার ছেলে দরকার,0,politics
খানকির পোলা তোরা মুল হোতা সামনে নাটক করস সিখিয়ে ছিস ভয় দেখিয়ে,1,sports
লাহাবীর দল😂😂,0,religion
জার যেটা বুঝ দারি পালিয়ে রাখে মুজ তদের চিন্তা কর,0,religion
ছবিটা দেখার মতন ছবি কোব সুন্দর,0,entertainment
ভিডিও বুঝলাম সময়এরা চুদাচুদি করত। আরু সুনা খাইছে সুনা খাইতে খাইতে দেখলাম চুদতে পারেনা।,1,crime
জন্যই শালারা বিয়ের খেলতে গিয়ে চেঞ্জ থাকেনা মাল পাইয়া খেলায় মন,1,sports
ভালো,0,sports
একদম বোঝা যাইতেছে হালায় জুতার লাসার দিয়া নেশা কইরা বইয়া হেতে চোঁখ টাইন্না মেলতে পারতেছেনা নিজেরে কেমনে দাবি ভিডিওতে ডিসলাইক দিসে কয়ডা দেয়ান মাগীর মুজুরের কামলা খাটা দিন মুজুর।,1,religion
নূর খানকির পোলা জামাতের দালাল,1,politics
সার পোষ্ট পড়ে বমি বমি লাগছে। উফ পড়লাম ভাইরা একটা আন্টিঃ বিটিক ১০ মিনিট আগের স্মৃতি ভুলে যাই।,0,celebrity
চুদানির পুত একটা কুলুংগার শেখ হাসিনা গুলা দেখেন,1,politics
তোদের কাম,0,crime
সালাকে গন পিটুনি দরকার ছিলকারন সালা বলেছে রাগের মাথায় মেরেছে রাগের মাথায় গুলো মেরেছে সালার সাথে স্ত্রীকে স্ত্রী সামনে মনে সালার স্ত্রী বেশি খারাপ এতগুলো চড় থাপ্পড় মারল মাগি আটকাতে পারল,1,"Meme, TikTok and others"
ভালো লাগতো,0,"Meme, TikTok and others"
দুইটায় গান্ডু 😂,0,politics
শয়তানের দৃশ্যমান রুপ গাব গাছি।,0,religion
চট্রগ্রাম চ্যালেঞ্জার্সের ভক্তরা কোথায় লাইক হবে👍👍,0,sports
নায়কাটার বয়স হয়ছে,0,entertainment
তাসকিন পাগল,1,sports
কুততার বাচচাকে জদি পাইতাত বউ বিতরে বরে দিতাম চোদানি মাগির পোলা নাসতিকের বাচচা সাহস থাকলে সামনে আয় তোরে তোরে জবা করমু,1,religion
জবায দেরে কুত্তাকে,1,"Meme, TikTok and others"
বলদেরা প্রশ্ন কই ওবাইদুল,0,politics
পতিতা শালি বলেকি দোস আকাম সমায় মনে ছিলো বাচার ইচ্ছে ছারের দোস ছারের ছোদায় খুব মজা পাইছে মনে এসব মহিলাদের জনৌহি আনোদের সংসার নস্টে,1,crime
খানকির পোলা গো মাইরা পুটকির বোম্বাই মরিচ দিয়া বর্ডার পাস কইরা ইন্ডিয়ায় মালাউন গো পাঠায় দেওয়া কেয়ামতের ময়দানে মালাউন গো খানকির পোলারা জাহান্নামে একটা কথা এগুলারে ঢাকায় পাইতাম এগুলারে কুত্তা পিটান পিটাইতাম খানকির পোলারা ইসলামের বারোটা বাজাইছে কারণে আজকে মুসলমানরা মার খাচ্ছে,1,religion
কিরে তুই সাকিবকে পুজি পাপনকে জুতা দেখালি জুতা তকে দেয়ার দরকার তুই মানুষকে ভুল টেলে দিয়েচিস আজে বাজে ভিডিও বন্দ,1,sports
হায়রে কুত্তার বাচ্ছারা স্বাধীন দেশ মন্তব্য অধিকার সবারই আছেন। বান্দির বাচ্ছা রা মাদারচুদেরা নবী গালি কোথায় থাকিস কুত্তার বাচ্ছারা।।,1,sports
বদমায়েসের সুর অত্যন্ত মানবিক । পা চাটা কোথাকার।,1,celebrity
সাব্বির বেয়াদপ পুরো ক্রিকেট টিমটাই বেয়াদব বেত্তমিজ আস্তে কথা । ভারতীয় মিডিয়ার কথা । সালার বাঙালি বাঙালিকে গাইল্লাইতে ইচ্ছে । ভিডিওর শিরোনাম মনে সানিয়া খালাম্মা লাগে সাব্বির সানিয়াকে বলেছে লাফাচ্ছে সানিয়া সাব্বিরকে কিবলেছে বলতেছেন,1,sports
অপুকে,0,"Meme, TikTok and others"
দেশটি কথাও খুজে পাবে নাতো সকল দেশের রাজা রানি পথো ভুমি,0,politics
মেঘের ওপর আকাশ ওড়ে নদীর ওপার পাখির বাসা মনেবন্ধু বড় আশা,0,entertainment
পাপন কুত্তার বাচ্চা হাত,1,sports
ভাই সোনা রানা।,1,entertainment
সবাই আন্দোলন পাপনকে স্থায়ী বহিস্কার করোন। গণপাবলিক ইট পাথর ছুটিয়ে মেরে সালারে,1,sports
মূর্খদের সাথে কথা বলাই না।,0,religion
মন্ত্রীরা হারামজাদা আস্তো বদের ধাড়ী,1,politics
এটাও কুকুরের বাচ্চা স্যর,1,politics
কানকির মাগি বড়ো ক্রিমিনাল,1,crime
বঙ্গবন্ধু বঙ্গমাতা সেকচি হাচিনার স্বপ্ন বাস্তবায়িত করুন।,0,politics
দিছে এগুলা হালার পো 😈😈,1,religion
সরকার দেখেনা বিচার করেনা,0,crime
ভাই মেয়েরে জোর নাই।।মোহাব্বত।। একালে সেকালে বড়কর্তারা একটু আধটু থাকে।।,0,crime
সরকারের আমলেই তোর ফাসী বছরেই,0,politics
এতো মানুষ থাকার ছেলেটাকে কিভাবে মারলো,0,crime
কাউয়া কাদের শেস,1,politics
মাল টা চু,0,religion
পা চাটা গোলাম মীর জাফর ।,1,celebrity
কুতা মুখো মহিলা ফকিনি বাচ্চা হাতে পেতেট কুতা খেতে সালা পাগলীর বাচ্চা,1,"Meme, TikTok and others"
ভালো ব্যাটিং কেমনে এইসব সময় পায় না।,0,sports
ভোদার পোলা তুই ডিচি সাধনার পাপের ফসল,1,crime
আবাল মার্কা দেশে বাস যেদেশে আসামীই মামলার তদন্ত,1,crime
বেয়াদবের বাচ্চাকে দেশ বের মাদারচোদকে,1,religion
হায়রে মূর্খের বাচ্চা তুই ছাগলের তিন নাম্বার বাচ্চা খাইয়া নাছোচ,1,religion
শালা কুত্তালীগ দলটাকে খালা আম্মা হাসিনা নিষিদ্ধ করেননা,1,politics
কুত্তার বাচ্চা মানুষকে অপমান কুত্তার বাচ্চাকে মাসুদ রানার বিচারকের চেয়ারে একটা মানুষের বাচ্চা নাএ শুয়োরের বাচ্চাকে এখানটা উট ঘন্টার আউট শালা শুয়ারের বাচ্চারা ঠিকমতন বিচারক প্রতারণা শুয়োরের বাচ্চা মানুষকে অপমান হয়েছে,1,entertainment
তুই একটা জাফর গরু 🐂 জাতের বাছুর।,1,celebrity
বুদ্ধিজীবি মাথায় বুদ্ধি লজিক নাই। মাথায় বুদ্ধি সিওর নাহলে ৭১ গর্তে লুকায়া জীবন বাঁচাতে পারতেন🐸🐸,0,celebrity
শুভকামনা রইলো।,0,celebrity
বাঙ্গালীর জত বাল ছাল নিয়া পইরা থাকি।,0,sports
খানকির পোলা তোর মারে আসলে তোর মার সোনা পাক খানকির পোলাকে খানকির পোলা মারেচুদছিস খানকির পোলা হিজলা দের মত পড়ে পক পক খানকির পোলা,1,"Meme, TikTok and others"
মাগি তুই হলি একটা 🤬🤬🤬🤬🤬🤬,1,crime
শালারা বিচারক নামে কলংক,1,entertainment
উপু তুই মাগি মিথ্যা কথা কছ,1,politics
পাপন নডির পুলার কাজ ।সালার পুলা জানেনা ভাব ল,1,sports
যৌবন চিরস্থায়ী কোথায় ময়ূরী সময় সাধন হবেনা সময় থাকতে হাল ধরো,0,"Meme, TikTok and others"
চেতনার মরিচ স্যার পু কিতে ডলে হইছে,1,celebrity
আঁখি আলমগীর ভদ্র পতিতা,0,"Meme, TikTok and others"
শালা কুক্তার বাচ্চার দনটা কেটে দরকার,1,crime
সবাই খুশি,0,politics
শেখ হাসিনা কম বিতকিত একটা কথা কেনো আওয়ামীলীগ করেনা নামে গনতান্ত্রিক দল এক কাজ থাকবো আজিবন ক্ষমতায় কারো হাতে দেবনা দেশ কারন দিলে দেশ কারো হাতে বাজবে বারটা আওয়ামিলীগের অন্যায় বেস বিচারের নেইজে সেষ টাইবুনাল করলো জামাত বিএনপির টাইবিনালে বিচার আওয়ামীলীগ বলেছিলাম দেবো সম্পদের হিসাব গতো দশ বছর দেই সেইসাব শেয়ারবাজার খেলাম খেলাম মানুষের রক্ত রানামারলো শো মানিষ রানা জামাই আদরে কর্নেল তারেক মারলো তারেক গুমায় এসি রুমে জোসেফ খুনির আসামি জোসেফ জায় বিদাশে এমপি লিঠন মারলো মায়ের পেটের সন্তান এমপি লিঠন জায় রেহাই ঘন্টার আসামি সাগর রুনির মাসেও দরা পরেনা সনের ডকুমেন্টস পায় বুবু তুনুর বিচার নাইরে নাইরে বিচার ফেলানির বিচার তৌকির হত্যার সেনা বাহিনি খুন বিচার এখনো বলবো সেষ,0,politics
ডিসির জায়গায় মসজিদ মাদ্রাসার ইমাম শিক্ষক এতক্ষনে সুশীল চেতনাশীলদের আওয়াজে যেত শালার ডিসি তোর কপালে জুতার বারি।,0,crime
বাংলার পতীতা,1,"Meme, TikTok and others"
বয়স কম হয় এখনো লুচ্চামি করস লজ্জা কিভাবে তোর ছেলে মেয়েদের সামনে মুখ দেখাচ্ছিস নির্লজ্জ বেশরম কুত্তার বাচ্চা,1,crime
হ্যাপির কথা বলার সময় ঘামতেছিলেন কেনো রুবেল,0,sports
তুই হাফিজুর রহমান সিদ্দিকিরে বলস খোদা দাবি তুই সালা দুনিয়ার খারাপ,1,religion
তোমারভুদায়এতোএতোকামড়যেঘুড়ারধনদিয়একটানাপাচঘন্টাধরেচুদারদকার,1,"Meme, TikTok and others"
মাদার চোদেরা তোগোরে গালি দিছে।মুশফিক তোগো বাবা লাগে। মুশফিক কে।,1,sports
হালার পুতেরা মাঠে না। ঘরে ভালই পারে।,1,sports
বাংলাদেশে জনগ বোজেনা,0,sports
মাদারি সাব্বির,1,sports
তুর মারে তুই চুদ মাগির পোয়া🤬 খানকির পোয়া অন্যকে ছোট তুর প্রপেশন এইসব টাকা খাস তুর লজ্জা সরম মাগির পোয়া🤬 তুর বদা কিনা হাত দেখ মাগির পোলা🤬🤬🤬,1,entertainment
হেতে মাদারচোদ নাচির,1,sports
লুচ্চামির মত চেহারা সালা।,1,crime
শয়তান কন্ডম ফাটা জারজ সন্তান এগুলি,1,politics
সম্পত্তির হিসাব নেয়া হক অতি ভক্তি চোরের লক্ষণ আসার ক্রিকেটের অবকাঠামোগত উন্নয়ন উনার কথাই সবাইকে মানতে,0,sports
বিচারক রে জুতা মার কথা ঠিকমতো প্রতিযোগীর সাথে,1,entertainment
খানকি দেশের বারোটা বাজিয়ে মাগী এসব সো বাদ ভাই,1,entertainment
পাপন সালার পোলারে পদত্যক চাই পাপনের পদত্যক চাও,1,sports
মিথ্যা কথা বললে মুখে এভাবেই কথা আটকে যায়। অপু উকিল ছেঁচড়া,0,politics
মজা তুমিও পাইছ আমিও পাইছি জ্ঞান হারানোর 😆,0,crime
ভন্ড ছুদা,1,religion
দেওয়ানবাগী চুলটা গো মুখ দেওয়ানবাগীর মুরিদ রয়েছে উল্টা চুদল,1,religion
দেওয়ানবাগীর ভন্ড পীরের গালে গালে জুতা মারি পণ্য রে পণ্য জন্ম নাস্তিক শালার ভন্ড তাহেরী জুতা মার শালারে গালে ইউর বাস্টার,1,religion
খানকি মাগি লিখছে একটা কথা বলছে আরেকটা তোরা বেসশা,1,"Meme, TikTok and others"
সালার পাগল ওবাইধদুল কাজ পুলিশের মগা,1,politics
কূথায় খালেদা কাওয়ার তূলনাকরে কারশাথে শবপাগল,0,politics
রিয়াজের মত সুদর্শন নায়ক আসবেনা,0,entertainment
এক মুভি কয়বার কয় চ্যালেনে ছাড়ে br এইটা ইউটিউব br ছারছে,0,entertainment
এইটা টিক ছোট বেলায় মা ভলতেন গালে পিরিচতা তাসকিন একটা পাগল ছাগল,1,sports
ওরে আজকে মাইরালা অসহায় ব্যক্তিকে এভাবে মারে,0,"Meme, TikTok and others"
সুন্দর ভিডিও দেকতে ক্লিক করুন,0,sports
একটা অবস্থা লুচ্চামি তদন্ত 🙄,0,crime
বালের কাজ কর,1,entertainment
মাগি বিদেশে চুদা,1,"Meme, TikTok and others"
পোষ্ট উহু শুধুই কমেন্ট পড়তে আসলাম,0,celebrity
সুস্থতা চাই চাই,0,celebrity
দেওয়ানবাগীর মুরিদরা পাগল।তাদের বোঝানো না।এক আল্লাহুই ধ্বংস করতে।,1,religion
পাপন কুত্তার বাচ্চা অতি তাড়াতাড়ি বহিস্কার হুক।,1,sports
সিন্ডিকেট বস পাপন।,0,sports
মদ খা মদ খাইলে তোর বুদ্দি,0,celebrity
মাগির পুয়া তর মারে কর,1,religion
পাপনদা একটা মাদারচোদ,1,sports
ছাএ রা বলেছে রাজাকার আয়মী লীগ রাজাকার বলেছে নটির ভাচচা,1,celebrity
ভাল,1,sports
আসুদা বিচারক এদেরকে চুদা দেবার প্রয়োজন,1,entertainment
সত্যি কথা বলছে মহিলা ডিসি সাহেব ওনাকে ক্ষতি করিনি মিনিট ওনাকে সুখ শান্তি দিয়েছে,0,crime
নাজমুলের অভিনয়টা ভালো হয়েছে জারি গানের কথায় জায়গায় ভুল,0,crime
তোদের চোদে কিডা ওসুধের বুল্লিনে তোর এক ভাতার বলবে,1,"Meme, TikTok and others"
শালা বাইনচুদ তুই বড় বন্ডা খালেদ সাইফুল্লাহ বন্ড শালা তরে পাইলে জুতা পিটা করতাম,1,religion
বান্দরের বাচ্চা ভন্ড তোর মায়েরে বদলাতে চুদামু,1,religion
কষ্ট লাগে এগুলি দেখলে,0,crime
ভাই অপনাকে ধন্যবাদ,0,religion
ছিঃ ছিঃ রানু মন্ডল ছিঃ মানোষী কতা,0,"Meme, TikTok and others"
খানকির পোলা বাড়ানোর মিছা কথা কবি,1,politics
সাথে একমত,0,crime
কেয়ামতের ময়দানে তুদের জুতার মালা রেডি শয়তানের বাচ্চারা। হাদীসে পায়চস রে। সৃষ্টিকর্তা চাইতের গাঁজা খুর বড় হয়ে গেল। টাকার পাগলামি লজ্জা,1,religion
বাইনচোদ এগুলো সালা অশিক্ষিত 😡😡😡😡😡,1,crime
ফাটাও সালা 🤣🤣🤣🤣,1,crime
পাপন সালা একটা দুর্নিতির গুডাউন। দেশের সরকার সাহাজ্য,1,sports
ভারতের মায়েরে চুদি,1,"Meme, TikTok and others"
ছাত্র লিগ কুত্তা লীগ,1,politics
পাগল বানাচে নাটক,0,entertainment
পা পোন্দা তুই বাংলাদেশ ছাইড়া ভাগ শালা,1,sports
একটা মেয়ে এতগুলি সন্রাসীদের সাথে,0,crime
কি।বালের সিসি ক্যামেরা এতো কথা কিসের।আকাম প্রকাশ ভালোই।দুজনেই বিবাহিত।আর শালা তুই চাস দুইজনের সম্মতিতে হইছে প্রকাশ পারবে না।তাইলে প্রেম নোংরামি সম্মতিতে বৈধ কাজ করে।শালা তুইতো একটা আসল শয়তান।,1,crime
এইসববন্ড পীরদের জুতারমালা গলায়দিয়া সারাদেশেগুরানো উছিত,0,religion
তুই চোর অপু খানকি মাগি,1,politics
কাপের লাতি মারি গোয়া মারি,1,religion
মনে ছিলো বিচার চোদাও 😠😠,1,crime
তোর হেডা মাগীর পোলা,1,celebrity
ভন্ড শালা চুপক,1,sports
মদ খাও অার মা‌ঘি চু‌দো ব,1,"Meme, TikTok and others"
অসংখ্য ধন্যবাদ আপনাকে সাহসী ইউটিউবার আপনি। আল্লাহ আপনাকে ভালো রাখুক সুস্থ রাখুক।,0,politics
হুম ভাই কথা ১০০ আসলে ভাই বাঙালীদের একটা জাতি গতো সবাব সেতা সমোলচনা আসলে ভালো কাজ খারাপ কাজ শুরু তুমুল সমোলচনা নানান দরনের কথাবার্তা আসলে বিশ্বে সমোলচনা চেমপিয়ানসিপ চালু থাকতো বাঙালী জাতি ১নাম্বার স্তান টা দখল করতো ১০০ বাঙালী জাতি হিসেবে সেদিন ই উন্নতি পারবো দিন অন্যের বিরোধে সমোলচনা বন্ধ পারবো বিশ্বের কাছেও সুনাম অর্জন পারবো।আমার কথায় মনে কষ্ট নেবেন না।ধন্যবাদ।।।।।,0,sports
এইতো বাংলার গল্প,0,entertainment
কেয়ামতের আলামত,0,religion
জানোয়ারদের সমাজের সামনে দৃষ্টান্ত মূলক শাস্তি,1,"Meme, TikTok and others"
মাদার চোদেরে পাইলে কোতাদে পুটকি মারালাম উলে,1,"Meme, TikTok and others"
খানকির পোলা মেয়েদের সরম,1,entertainment
সালি মিথ্যা কছ তরে চৌদি,1,"Meme, TikTok and others"
বাহ সুদির ভাই বাহ। তোরা পারিস মাদারসোদ। কোথায় মেয়েটার বিষয় হাইড করবি তোরা উল্টা দেখিয়ে দিচ্ছিস। বাপের বেটা থাকিস নিউজ কর ঐরকম ডিসি ডিসির ন্যায় বিচার দেখা। শাস্তির ফল ভোগ দে,1,crime
সবাই ডিসি সাহেবের দোষ দেখছেন আসলে চেয়েও খান্কি মাগির বেশি দোষ আপনারা বলছেন খান্কি মাগির শাস্তি দেয়া তারপরে ডিসির,1,crime
আকাম ক্ষতি নাই। ।।।তাকে ডিসির সাথে বিয়ে দিয়ে বাঁচার রাস্তা দেয়া,0,crime
অাপনাকে অাগে সম্মান করতাম অার করিনা। কারন অাপনি একটা চেতনাবাজ।,0,celebrity
মানু‌ষের মু‌খে আঘাত হারাম। হালারা তিনটাই বল‌দের বাচ্চা,1,sports
ইনু চাচা ভোটার বিহিন নির্বাচন সাধীন বাংলাদেশ ।আর সাধীন নতার সাধ জাগে উঠবে জনগণের ইন শাললা।,0,politics
মাগীর পুতের ধন কাটার দরকার,1,crime
সাকিব ভাই রায় মানিনা,0,sports
আল্লাহ হেদায়াত করুন,0,religion
সালা বুয়া খবর দেয়ার জায়গা পাসনা,1,"Meme, TikTok and others"
ইন্টারনেট থাকার কারণে 25 বৎসর আবারও পেলাম,0,entertainment
চুরি পরলে টাকে দেওয়া সাকিব কেও ।।এরা চোরকে করছে।।।মানে চোরে চোরে মাসতুতো ভাই,0,sports
টা কতহাত দিয়া ক্রিকেট খেলা যাইবো পা দিয়া ফুটবল খেলতে হইবো,1,"Meme, TikTok and others"
পাপন খানকির পোলা একটা ভারতের বীজ,1,sports
ওরে হালার পো হালা মানুষ বানর আসে হিন্দুরা গরু মা। বান্দর জরমো গরু মানুষ পশু জরমো হইয়ে মা হাওয়া বাবা আদম কই আস্লো জুতা পিটাইয়া আধমরা কইরা কেরোসিন জালিয়ে মারা দরকার।। সাব্বির মত একজন অভিনেতা একটা নাটক অভিনয় আশা,1,entertainment
কুত্তা জবাই উচিৎ🥶🥶,1,"Meme, TikTok and others"
অনলাইনে বেটিং ক্রিকেট ফুটবল অন্যান্য সকল খেলায় বেট বাজি ধরতে বেট একাউন্ট বেট বাজি ধরতে পারছেন পর্যাপ্ত ডকুমেন্ট বেট নেটেলার স্ক্রিল একাউন্টস বানাতে পারছেন পোস্ট জন্য। ফুল ভেরিফাইড সকল প্রকার ডকুমেন্টস নিচের একাউন্টস গুলো পাবেন সবসময়। স্টক এভাইলেবল। 👉 👉 👉 👉 👉 বেট নেটেলার স্ক্রিল একাউন্ট কিনতে আগ্রহী সাথে যোগাযোগ করুন,0,sports
চোর চোর খালাতো ভাই,0,sports
দেশবাসি মাননীয় প্রধানমন্ত্রীর কথা অবশ্যই মান্য করেকিন্তু পাপইন্না তুই হালা ছেচকা মাগিরপোলা। তোর টাকলা বন্ধুর লগে তোর পাছায় গাজি পাম্প দিয়া পিডাইতে পিডাইতে চামড়া খুইল্লা মুশিরে গ্লাভস বানায় মন চাইতাসে,1,sports
চামচা গুলা মাদারচোদ,1,sports
এইটা কাজ হইলো😪😪😪😪,0,sports
কুক্তার বাচ্চা রা মানুষ মনে মানুষ বাহির অপমান অধিকার দিচে তোদের খানে গুলি ছেলে আইচে তোদের হাজার গুন ভালে মানুষকে সম্মান শিখো সম্মান পাবে ছরি বাজে কথা বলার,1,entertainment
চশমাটা উনাকে মনোবতার আম্মাজানে গিফ্ট করছে। অন্যকিছু চোখে না। মুতিয়া আফার লগে পিরিত লাগছে হয়তো।তাই অফ টপিকে একটু ফেবুর ঘসা দিলো। বিআওয়ামীপন্থী কটিচাটা দালাল।,0,celebrity
উপু উকিলের ডাঃ দেয়কাতে,0,politics
তোর মা তোর বাপ মনে শুটকি দিয়া বেলা ভাত খাইত তোর মত একটা শুয়রের পুটকির লাহান মোটা খাসি পয়দা করসে তুই আসলেই বেজন্মা তুই নিজেও জানস ওইটা মদ খা পুটকি মার শালা খানকির পোলা,1,"Meme, TikTok and others"
খানকির পোলা ভাইজান কাজ,1,entertainment
রে,0,politics
আমির হামজা মাদারি,1,religion
মতামত ডিক,0,sports
কাফের কাফের কাফের,0,religion
বিচারক গাঁজা ভাইজা খাই সিদ্ধ খাই,0,entertainment
কুলা লংগার বাচ্চাকে উপযুক্ত সাজা,1,crime
মানুষের দেমাগ বিগড়ে আজহা রী খারাপ,0,religion
ধন্যবাদ গঠনমূলক ভিডিওটা বানানোর,0,entertainment
মি জানুর খুব ভালো হুজুর থিক,0,religion
হালাপুতের বলদ মার্কা নায়ক,1,"Meme, TikTok and others"
