sentence,hate,category
নিশ্চয়ই এখানে বিএনপি জামাতের বড় হাত আছে তাড়াতাড়ি খতিয়ে দেখা দরকার প্রশাসক কার্যালয়ে আকাম কুকাম দেশ কত উন্নত হয়েছে আর কত কি দেখাবি সাংবাদিক মিডিয়া আস্তা খানকিরপুত তাদের কারণে আজ এই দশা দেশের আকাম কুকাম তদন্ত করবে শিয়ালের কাছে মুরগী,1,crime
বয়স তো কম হয় নাই এখনো লুচ্চামি করস লজ্জা করে না কিভাবে তোর ছেলে মেয়েদের সামনে মুখ দেখাচ্ছিস নির্লজ্জ বেশরম কুত্তার বাচ্চা,1,crime
কি যে ভালো লাগে দেখতেনাটক গুলো,0,entertainment
ছোট ভাই তোমাকে অসংখ্য ধন্যবাদ । তোমার কৌতক ষ্টাইলে কথা গুলো খুব ভাল লাগে। সৌদি আরব হতে,0,politics
পাডার বাল।সালারা মাথায় যা আবোল তাবোল আইছে তাই এ লেখছ।সালা মফিজএর দল।তোগো পাছা কালা না ধলা তাতে আমাদের কি।সেইটা আবার গানের এ লেখা লাগে কিসের জন্য। পাডা আবাল বলদ হাম্বা গরু মফিজ বাল বাল গান গায়।যেমন গান তেমন গানের গলা,1,entertainment
ভাষা শুনে তো মনে হয় হারামির বাচ্চা কলকাতার হবে আর বাংলাদেশের কুলাঙ্গার গুলা শিরোনাম বানিয়ে বাংলাদেশের চ্যানেলে প্রচার করছে এটার মাধ্যমে বাংলাদেশের কিছু কুলাঙ্গার ছেলেপেলে মাবাবার উপর অত্যাচার করা শিখবে এই সমস্ত ভিডিও আপলোড না দেয়াই ভালো,1,"Meme, TikTok and others"
রোখক যদি জানোয়ার ধরসোক হয় তা আমজনতা কি করবে এটাতো উন্নয়নের জোয়ার,1,crime
এদের বিয়ে কচু ✋ পাতার পানির মতো,0,entertainment
চোর চুরি করে কি শিকার করে সালারে চাকরি থেকে বরখাস্ত করা হোক আর কঠিন শাস্তি দিক এটা আমার দানি,1,crime
নুরু হইলো চোরা😂😂 তুমি হইলা ভাল🤔🤔 ভাষণের আঙ্গুল তুলতে গিয়া👆👆 চোদর আঙ্গুল তোল 👃👌 হায়রে কপাল হায়রে কপাল কি যুগটা আজ আসলো? গাধার মত জ্ঞান নিয়ে বিশ্লেষণে বসলাে 🤮🤮 নূরুর মত হীরকখণ্ড বুকে টেনে রাখবো💎💎 তোরমত জুতোকে আমি পায়ে পরে থাকবো🥾🥾,1,sports
এই শুয়োরের বাচ্চারা প্রশাসনের দেশটাকে ধ্বংস করে দিয়েছে প্রশাসনের এস আই ও সি এসপি ডিসি থেকে শুরু করে চুরিদার পর্যন্ত অপকর্মে লিপ্ত,1,crime
আসলে আমি একটা কথা বলতে চাই বাংলাদেশের মানুষ হিসাবে। ভুল কিন্তু মানুষেরই হয়। তাই ওই ভুলের সাজা আমরা মানুষকে দেই। তবে আমরা জানি একটা কথা পাপকে ঘৃণা করো পাপীকে নয় ‌। অতএব আমাদের বাংলাদেশের দলের একজন ভালো ব্যাটসম্যান। একটা মানুষের পার্সোনাল জিনিস নিয়ে কেন আমরা তো কথা বলি। এছাড়া এটা দেশের বাইরে মানুষের শুনতেছে।<br />আমরা প্রবাসী। গতকাল একটা ইন্ডিয়ান লোক এসে বলে আমাকে তোদের সাব্বির খারাপ ছেলে।<br />এ কথাটা শুনে ও কে <br /> কিছু উত্তর দিতে পারিনি<br />কেননা আমাদের বাংলাদেশের মানুষ সবকিছু বাহিরে মানুষদের কে বলে দে,0,sports
এমন কুত্তার বাচ্চাদের কে বিচারক দিছে কে। ব্যাবহার শিখিয়ে তারপর এদের বিচারক বানানো উচিৎ,1,entertainment
আমরা মোদির পক্ষে আছি,0,"Meme, TikTok and others"
বিচারোক গুলি মাদারচোদ,1,entertainment
ওই মালটাকে ল্যাংটা করে ঝুলিয়ে পেছনে গড়ম মিষ্টি ঢেকাতে হয়,1,"Meme, TikTok and others"
বিচার চাই জনের,0,crime
ওনার কারনে এবং ওনার সাথে সেলপি তুলে ফেসবুকে বায়রাল করে কত গুলো সাধারন ও অসহায় মানুষকে হাতে না মেরে বাতে মেরে জেলে পাঠিয়ে তাদের উপর একের পর এক পরিকল্পিত ভাবে অমানবিক নির্যাতন শুরু করে তাদের আথিক টাকা পয়সা সয় সম্পদ বিকরি করায় সব লুটে নেন।এবং আজ অত্যান্ত দুঃখের সাথে বলতে বাদ্য হলাম আর গোপন করে রাখতে পারছিনা?মহিপাল ছিলো বিএনপির গাটি আমি যখন এই গটনা গুলো দেখছি এবং জানতে পারলাম তখন থেকে আর এখন আমি মহিপালের সেই মানুষ টির কথা বলছি।সবাই জানে সে কতটা বয়াবহ রুপ।তার উপরে দৃশ্য টা রুপ।কিনতু বিতরটা হলো টাকা আর টাকা। সে একজন বিজা বিডাল তার নাম স্বপন মিয়াজী।বতমানে মহিপাল নং ওয়ার্ডে কাউনসিলর এবং প্যানেল মেয়র টু।তিনি কিলিন ইমেজে চলাপেরা করেন। ফেনীর মহিপালের সহজ সরল অতী সাদারন দানশীল ব্যাক্তি এবং শিল্পপতি যাদের ত্যাগ আর অসীম সাহসীকতায় মহিপাল আওমীলিগ পরিপুর্ন সফল হয়।এবং তাদের অনেক অত্যাচার সইতে হয়েছে।তখন আসলো থেকে বিএনপির বিপি জয়নাল ক্ষমতায়।তখন এক বাসের ডাইবার শমিক সদস্য হন তার মিলন।ওরপে হাডু মিলন এই কুওার বাচ্চা কতগুলো পরিবারকে পথের বিখারি করেছেন কতগুলো মানুষকে গাডী চাপা দিয়ে মেরেছেন কত গুলো আওমীলিগ কর্মি দের পায়ের রগ কেটে দিয়েছেন মেরে পেলেছেন তখন থেকে সে কোটি কোটি টাকা হাতিয়ে নিয়েছেন।ঠিক তখন এ বিপএনপির শেষ পযার্য় দেখছেন বিএনপি আসবে ঠিক তখন এই মিলন স্বপন মিয়াজী চিলো একজন ফুল ব্যাবসায়ী।এই মিলন তার অপকর্ম ডাকতে এবং আওমীলিগের ত্যাগি নেতাদের ভিবিন্ন ভাবে গুজব রটিয়ে এবং তাদের পরীবারের উপর একের পর এক অত্যাচার একের পর এক ত্যাগি নেতার ছেলেদের নেশায় পরিনত করে মামলা ডুকিয়ে দমন করতেন।এসব মুল বুদ্দি দাতা এই বিএনপির নেতা মিলন।এই হাডু মিলন স্বপন মিয়াজিকে আওমীলিগে ডুকিয়ে তাকে রাজনিতি টিকে থাকার অর্থের যোগান কিনতু কেউ জানতো না।পরে দিরে সব কিছু প্রকাশ পায়। বতমানে এখনো সে কোটি কোটি টাকা কামিয়ে জাচ্চেন।এখন সেই মিলনকে স্বপন মিয়াজী আওমীলিগে ডুকান।আওমীলিগে আপস করে তাকে রাজনিতি পরিনত করেন।এবং প্রকৃত প্রবিন আওমীলিগের পতি তাদের এবং তাদের সহযোগীদের বিএনপির জালাও পোরাও হামলা মামলায় ডুকিয়ে দিলেন তাদের সর্ব শান্ত করে দিলেন।একের পর অত্যাচার এখন আরো দুটি বংশকে নিরবংশ পথে নিয়ে যাচ্চেন।প্লিজ প্রিয় মিডিয়া ভাইয়েরা আপনারা আমার বক্তব্য নিউজ করুন এবং এই তথ্য ইকবাল সোবান চৌধরী এবং মাননীয় প্রধান মন্ত্রির কাছে তথ্য জানানোর জন্য আকুল আবেদন করছি।আল্লাহ মালিক,0,politics
আল্লাহ তাআলা যেন এই দাতজাইল দেরকে সঠিক ইসলাম লাইনে হেদায়েত দান করেন আমীন এর বিঝি আমার কাছে বলার নাই,0,religion
আল্লাহ এমন সন্তান কারো ভাগ্য দিয়েন না,0,"Meme, TikTok and others"
দেখতে ডাকাতের মত,1,crime
মাগির পোলারা মেয়েটার দোষ দেশ কেনো মেয়েটা যদি মারার পেলেন করতো তাহলে তো মেয়েটা নয়নের সাথে পালিয়ে যেতো,1,crime
ছাগল উপস্থাপিকা,0,"Meme, TikTok and others"
না দেখে কমেন্ট করলাম মনে হয় ভালো হবে,0,entertainment
"স্যার আমি শুনেছিলাম ছাত্রলীগরা নাকি একদিন আপনারে মারছিল,,তারপর আপনি নাকি বৃষ্টিতে ভিজে ছিলেন,,স্যার কথাটি কি সত্যি??",0,celebrity
এই কুত্তার বাচ্চারা তোরা কি ইহুদি ধর্ম নাকি কয় বার বলছি মদিনার নাম না নেওয়ার জন্য,1,religion
শালাদের জুতা দিয়া পেটানো উচিৎ। তারা খুব বড় হয়ে গেছে মনে হয়। বেরল ফারিহার বেটকি মার্কা চেহারা আর অভিনয় দেখলে আমার গা জ্বলে।প্রতিযোগীদের কনবেন্স না করতে পারলে বিচারকের চেয়ারে বসিস কেন রে শালারা।,1,entertainment
ও একটা বেয়াদব নাম্বার 1,1,sports
রঘুনাথ দাদা কে অনেক ধন্যবাদ এত সুন্দর কিচ্ছা উপহার দেওয়ার জন্য ।,0,crime
সাকিব এক নাম্বার হারামি মধ্যে,1,"Meme, TikTok and others"
দিদির পুরো কথা শুন্তে দেয়নি সময় সংবাদ এটা এক তরপা বিতরকো হয়েছে।,0,politics
রিফাত হত্যার দায় কার?? আজকে আমাদের মা বাবা মেয়েদের পর্দা ছাড়া ছাড়া ছেড়ে দেয়। ফলে মেয়ে নোংরা সম্পর্কে জড়িয়ে পড়ে মা বাবা উপায় না দেখে বিয়ে দিয়ে দেয় ছেলেদের বলছিঃ বিয়ে করার আগে মেয়ের চরিত্র দেখো। সমাজে নোংরা সম্পর্ককে পবিত্র সম্পর্ক বলে প্রচার করা হচ্ছে। ঘরে ঘরে অশ্লীল টিভি চ্যানেল স্থান করে নিয়েছে।তাহলে এ দায় কার!! মেয়েদের বলছিঃ আল্লাহতো তোমাকে তোমার বরের জন্য সৃষ্টি করেছেন।তাহলে কেন তুমি তোমার সৌন্দর্য অন্যকে দেখাবে?? আসুন আমরা ইসলামের নৈতিক বিধিনিষেধ মেনে চলি।সুন্দর সুস্থ সমাজ গড়ি,0,crime
বোকা চোদা তোদের কি কাজ কান নাই কাংকির পোলা রা ফাইজলামি করোস,1,crime
সাব্বির তোমার মারে চুইদা তোমারে এনেছি পৃথিবী তে মাগির পুত,1,sports
মাননীয় নেত্রীকে ধন্যবাদ ইনু কে পিনু করায়,0,politics
সালা দুইটাই মাগি আর মাগিবাজ,1,sports
দেওয়ান বাগীর মারে চুদি,1,religion
ভিপি তোর পাছার ভিতর জাবে।সালি রববানি ভাইর ছিট দখল করতে চাও।আশা বাশা হবে।,1,politics
এই কেমন পাবলিক। একটা পাবলিক ও দরলো না।সব মাদারছোদ,1,crime
পাপনকে জুতা দিয়া এমন ভাবে পিটান।সালা ভারতের দালাল।,0,sports
ফাসি চাই সালাগো,1,crime
গরুর হাটে কি আবার পাদানি খায়বা ভাইয়া😂😂,0,entertainment
তোর হেডা মাগীর পোলা,1,celebrity
স্যারে দোষ থাকবে কি করে। এই মহিলা তো সাগর কলা খাওয়া শখ হয়েছিল।আর স্যার কলা দিছে বিনা মূল্যে।মাগী কুকর্ম করার আগে সন্তানের কথা মনে ছিল না।,1,crime
কোরানে কোন জায়গায় লাফাইতে বলেছে?উ আ করতে বলেছে? ছাগলা তাহেরী!,1,religion
জয়কে নিয়ে আসা হউক।,0,politics
দুজন আবার একসাথে থাকুক,0,"Meme, TikTok and others"
ছেলে ছেলের বউ জানোয়ারের চেয়ে ও খারাপ,1,"Meme, TikTok and others"
আমাকে কেউ কারাফ বাবেন না আমি গালি দিমি পাপন কে পাপন তরে আমি জুতা দিয়া বাড়িইয়াইয়া তর মার ফুন্দে দি হারাইতাম কুত্তার বাইচ্চা,1,sports
সালাকে ফাসি দেওয়া দরকার ডিসি চোদনা,1,crime
কুএালিগ সখানেই গেওগেউ করে,1,politics
খালেদা হল পাকিস্তানের জংগি জামাত রাজাকারের যৌনদাসী শালী নোয়াখালী তে হিন্দু মেরেছে শুয়োরের বাচ্চা,1,politics
সব মানুষ আপন হয় না জেমন পাপন আপন হইতে পারে না শালা হারামির বাচ্চা,1,sports
ভিডিওর শেষের দিকে দেখা যাচ্ছে এক পুলিশ ভাইকে যিনি ক্যাপ পরিহিত একজনের সাথে এই বিষয় নিয়েই কথা বলছেন।। এই ঘটনায় ঐ পুলিশ ভাইটি সরাসরি জড়িত তাই বিচার সবাইর হওয়া উচিৎ ।,0,crime
স্যার গাঞ্জার দাম কি কমে গেছে???,0,celebrity
বাটপার বাইনচোদ কোথায় রুবেলের গান,1,sports
ভালো হতে পয়সা লাগে না। আর এখানে দালাল মার্কা নায়ক নায়িকা আছে,0,politics
শালা উচ্চারণ টিক করতে বলছ নিজের টা টিক করে আয় গো হুম মানে কি শালা মুর্খ,1,entertainment
দা ওরে ধইরা গন চুদিতে হব্বে,1,"Meme, TikTok and others"
বি এন পি মানে জারজ দল,1,politics
ইন্ডিয়া বাংলাদেশকে কখনোই আগাতে দিবে না আর সেই ক্ষেত্রে আমাদের কিছু নাম ধারি বাংগালী দেশে বসে হেল্প করে ইন্ডিয়ান দের,0,sports
ফাসি চায়,0,religion
ভাই সোনা রানা।,1,entertainment
শালীরে জুতা মার,1,"Meme, TikTok and others"
মজা তুমি পাইছ আমিও পাইছি শালার এত বর প্রমান তার পর আবার তদন্ত কিসের,1,crime
দুইটাই মাগি,1,entertainment
গুন সওয়াব শালা পাগলচোদা,1,religion
ভাইয়া আমাদের সাকিব ভাইয়াকে আমার মাসের জন্য না সারা জিবনের জন্য হারাচ্ছি কারন এভাবে সাকিব ভাইয়াকে বাদ দিতে পারতনা সাকিব ভাইয়াকে ফাসিয়ে বাদ দেওয়া মনে সারা জিবনের জন্যা বাদ দেওয়া আর সাকিব ভাইয়া আপনে বাংলাদের হয়ে আর খেলবেন না অন্য দেশের হয়ে খেলেন আমি বা আমরা আছি আপনার সাথে জে দেশে সোনার চে লোহার দাম বেসি সে দেশে আপনার খেলার কোনো খেলা দরকর নাই। (সেলুট সাকিব বস),0,sports
"অসাধারণ সিনেমা! সোনালী দিনের চলচ্চিত্রগুলো দেখলে প্রাণটা জুড়িয়ে যায়। এই সিনেমার একটি গান &quot; আমার এই গানখানি যদি ভাল লাগে, কোনদিন ভুলে যেও না&quot; সেসময়ে অসম্ভব জনপ্রিয়ছিল। আজও কানে বাজে গানের কথা ও সুরের মূর্ছনা। ভেজাচোখ সিনেমাটি অনেকের প্রিয় চলচ্চিত্র। সিনেমাটি আপনাদের সংগ্রহে কিংবাকি কারো কাছে আছে?",0,entertainment
খাজা বাবার কিযে হবে আল্লাহ ই জানেন নিজের আমল এ নিজেকে পার হতে হবে আপনাদের খাজা বাবা আসবে না,0,religion
তুই তুই তুই এতো খারাপ মাগি,1,entertainment
কিছু আবাল ইউটিউবে পর্ন দেখতে আসেকিন্তুু সেটা যখন খুঁজে পায়নাতখন তারা বিডিও পাইলেই ডিসলাইক দেও!,1,sports
কুকুরের বাচ্ছাটাকে বাংলাদেশ থেকে বের করার জন্য সবাই ঐক্যবদ্ধ হউন,0,religion
গানই হোনান আর কি বালডা ফারবেন 😂😂,1,crime
এই কুত্তার বাসাটা কই ভাই,1,"Meme, TikTok and others"
কুতারা,0,politics
আমাদের সোনা এখন বাংলা ছবি দেখে না ‘,0,politics
এ ভাই ওবায়দুল কাদেরকে এক গ্লাস মুলার জুস দে,0,politics
জামাতপন্থী মওলবি রা সবখানে এমন ধোলাই খায়।সালা আহলে শয়তান মৌলভী,1,religion
জুতা তোদের ফালতু,1,crime
আপ্নার কথা শুনে অনেক কস্ট লাগলো ভাই।আবেগিত হয়ে গেলাম,0,sports
মাথা কি গেছে নাকি কার সাথে কার কথা তুলনা করে কোথায় হল কাউয়া কা কা আর কোথায় বেগম খালেদা জিয়ার তোদের মাথা নষ্ট হয়ে গেছে,0,politics
"লোকটা ঘুমে থাকে, তার হিসাব থাকে না।",0,celebrity
বাহ সুদির ভাই বাহ। তোরা পারিস মাদারসোদ। কোথায় মেয়েটার বিষয় হাইড করবি না তোরা উল্টা আরও দেখিয়ে দিচ্ছিস। যদি বাপের বেটা হয়ে থাকিস এমন ভাবে নিউজ কর যাতে ঐরকম আর কোন ডিসি করতে না পারে এবং ঐ ডিসির পক্ষে ন্যায় বিচার করে দেখা। তাকে তার শাস্তির ফল ভোগ করতে দে,1,crime
এই শালা কোন খেলোয়াড়ই না। বেয়াদব এক নাম্বার।,1,sports
অই সালা চাপাবাজ। কে বিসিবি রে দোষ ছে শালা। দোষ করছে সাকিব শাস্তি ও সাকিবই পাবে,1,sports
নুসরাত জাহান কে মারার আগে এগুলা চিন্তা করার উচিত ছিল এদের জন্য কান্নাকাটি করাটাও হারাম,0,crime
খানকির বাচ্চা!!!! শরীয়া আর অসাম্প্রদায়িকতা কী আলাদা জিনিস নাস্তিক মাগির বাচ্চা।,1,religion
কাউয়া কে কাউয়া বলবে না বলবে কি। নাম্বার ওয়ান কাউয়া,0,politics
গরীব ছাড়া ধনী চলতে পারবে না।,0,entertainment
মোদি ও অমিত মাদারচুদের ফাসি চাই,1,"Meme, TikTok and others"
মোরা এক বৃন্তে দুটি কুসুম হিন্দু মুসলমান,0,"Meme, TikTok and others"
তোর বউরে চুদে শিবির,1,"Meme, TikTok and others"
পাপনের ইচ্ছায় যদি সাকিব নিষিদ্ধ হতে পারে?তাহলে কোটি মানুষের কথা পাপকে জুতাপিটা করে আজীবনের জন্য ক্রিকেট বোর্ড থেকে বাহির করা হোক!,1,sports
এই_কয়দিন কি 'হাগু' কষা হয়ছিলো.??😜 হঠাৎ 'পুন্দানী' খাইতে আইলা কেন..??😂,1,celebrity
কুকুরকে চেষ্টা করলে মানুষ বানানো সম্ভব কিন্তু ছাত্রলীগ কখনো মানুষ হবেনা,1,politics
বালের কোঁদাল,0,celebrity
"আমার মতো জান্নাতে নাটক দেখতেঅপেক্ষা করো কে কে, কমেন্ট করে জানাও",0,entertainment
তুগো দালালের মাইরে চুদি,1,sports
বাংলাদেশী খবর,0,"Meme, TikTok and others"
জন গণ বালের লীগকে চাই না,1,politics
মেয়েটি একটা মাল,1,entertainment
একদম সিউর মিন্নি এই হত্যা কান্ডে জরিত এর বিচার চাই এসব মিন্নির জন্য হাজারো ছেলেরা মারা জাচ্ছে,0,crime
হালারপোতোমার জন্য দেশের ক্রিকেট ধ্বংসের পথে,1,sports
ছবিটা অনেক ভাল লেগেছে অনেক আগে দেখেছিলাম আবার দেখলাম ধন্যবাদ আপনাকে,0,entertainment
এই কুকুর ছেলে কে পেলে জুতা পিটিতাম ভিডিও দেখে চোখের পানি আটকাতে পারলাম না,1,"Meme, TikTok and others"
সঠিক কথা বন্ধু,0,religion
আরে ভাই সবকিছুতে সরি বললে চলবে না তাহলে আমি ধরে নাও একজনকে মারলাম নিয়ে বললাম সরি সেটা মেনে নেবে সেটা কেউ মানবে না তাহলে ওকে মারো না এমন মার দেওয়া যাতে দ্বিতীয় থেকে কোনদিন এভাবে গালি না দিতে পারে গালি দেওয়ার পর যা হয়েছে সরি বললে এটা কখনোই হয় না,0,sports
রানুর মে লুবি ওকে রানুর কাছে আসতে ছেনো না দেয়া বিকারি মাকে পরিচয় দিতে লজা লালো আজ মিডিআর পদায় দেখেমাকে দরোদ বেবে পরছে লুবি মে টাকা হাতাতে আসছে ওমার লাথি মেরে বের কোরে ধেক মিডিআর লোকেরা রানুর মেএকে জাদেখে কুলাগার ছেলে মে সিখা পয়া রানুর মেএর মুখে থুথু আর কুকুরের গু মাখি বজাত মে লাথিমেরে বের করে ধেক ছালমান খান আর হিমেস মিডিআ থেকে ওমেএকে বজাতমে ঐ ছেলে দুটো ভালো বলে ওকে কিছু বলোনা ওন্নকোনো ছেলে হলে ওকে ছিরে খেতো,1,"Meme, TikTok and others"
ছি কি হতেছে,0,politics
নাসির এর খেলা খুব ভালো বোলেই আজ দেশবাসী তাকে এক নামে চিনে।। (কথায় আছে এক মোন দুধে এক ফোটা চুন!😱 ব্যাস ! সব শেষ 😭) এতোটুকুই বলবো নাসির ভাই তওবা করে খেলায় মন দেন মেয়েদের সম্মান করুন।মেয়েরা বেবহারের পণ্য নয়।। সব মেয়ে এক না।। আপনি নানা রকম মেয়েদের করে ভুল ও পাপ করেছেন।সুভা সেই পাপের সাজা।।আল্লাহ্ আপনাকে মাপ করুন।।।,0,sports
এই বাস্টার ডের বহিস কার করা টা অনেক দেরি হয়ে গেল,0,"Meme, TikTok and others"
সাকিব কে ছাড়া তো খেলা দেখতে ইচ্ছে করেনা,0,sports
অফিসে যেরকম,0,crime
তাহেরির কন্ঠ সুন্দর কিন্তু শালা যে চরম ভন্ড দেখলে থাপরাইতে ইচ্ছা করে,1,religion
এই খানকির পোলা শিরোনাম কি আর দেখাইলি কি,1,"Meme, TikTok and others"
এই কুত্তার বাচ্চা হলো বাবা খোর দেখেন না চোখ ডলে মাথা ডলে কুত্তার বাচ্চা সত্যি সত্যি বাবা খোর,1,entertainment
তোর থেকে ফারিহা অনেক ভালো আছে খানকি,1,entertainment
কুত্তালীগ দেশ টারে ধ্বংস করে দিচ্ছে,1,politics
দেওয়ানবাগি কে কেউ মারে না কেন? এই সালা চুদির ভাই।,1,religion
সালা মাগী চোদা লোক প্রশাসন ক্যাডারের বদনাম করলি তুই,1,crime
সাব্বির আমার সোনার হিটার,0,sports
খুব খাবার হুজুর কিছু য়ানে না,0,religion
লুচ্চা সাহতাজ মাগি কাপড় ঠিক কর,1,entertainment
ঠ্যাটা পড়ে না কেন ??? আল্লাহর গজব পরব ভন্ডবাগী,0,religion
আপনার নামতো BTV Iqbal হওয়া দরকার ছিলো দুইটিই কাজের সময় খবর থাকেনা,0,celebrity
চুরি মিলেমিশে চুরি ভালই করেছো চেতনা ব্যবসায়ী মীরজাফর ।,0,politics
আমার হেডার পুতের কান্দে ছাতি ।কাউয়া।,1,politics
তর মায়েরে সালা চোর তর মাইরে সালা চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর চোর,1,sports
নাটক টা অনেক অনেকহিট হতোও ফারহান ভাই হলে,0,entertainment
চোদা,1,entertainment
জিল্লুর রহমান স্যারের ছেলে এতো বড় জারজ হবে এটা একটা দেশের মানুষ কোনো দিন ও ভাবতে পারেনি।ধন্যবাদ তাহসিন ভাই।,1,sports
মাজার পুজা কি ভাবে করে আমি জানি না বাট এইটা বলতে পারি শাহজালাল রাঃ এই দেশে ইসলাম প্রচার করেন এখন আমরা মানুষ যদি এর অপব্যবহার করি তার আশে পাশে মধ গাজা খাই এইটা কি আমাদের দুষ নাকি অলিদের দুষ? তবে আমরা মাজার পুজা করি না আমারা তাদের মাজারের পাশে গিয়ে দারিয়ে অনুতপ্তহই মনে একটা শান্তি পাওয়া যায় নিজেকে খুব ছোট মনে হয় তবে আমরা উনাদের উসিলায় আল্লার কাছে প্রার্থনা করি মনে একটা শান্তি ই পাওয়া যায় কে কি করল এইটা আমার দেখার বিষয় না আমি যদি দেখার উদেশ্য যাই তবে দুষ চোখে পড়বে যদি মন থেকে অনুতপ্ত হয়ে যাই তবেই শান্তি মিলে আল্লাহুয়াকবার,0,religion
আমার ধুন ডা বানাও তুমরা বেরিয়া জা ইউটিউব থিকা মিন্নির দুশ টা তরাও গুপন করা ধরছছ তরা পুরুশ না,0,crime
মারহাবা হুজুর সুন্দর উওর দিলেন,0,religion
লোকমান একটা কুলাঙ্গার,1,sports
লুচ্চা বদমাইশ চোর বাটপারদের বড় বড় পদে বসিয়ে দিয়েছে আরো অজানা কতকিছু যে আছে আর কালে কালে আরো কত কি যে দেখতে হয় কে জানে!,1,crime
জার্সি পরা মাগীর ছেলেকে ঘন্টা পিটানো হক সাকিব কে ওর আব্বা অকারনে বাদ দিছে। তা নিয়ে কিছু হয় না আর সাধারন পাবলিক কে ধরে গালি দেওয়ার খানকির ছেলে,1,sports
ইঞ্চি আসে অনেখ তিপ্তি দিমু,0,"Meme, TikTok and others"
চেনেল প্রোমট করার জন্য এই পতিতা দের ইন্টারভিউ নিচ্ছে,1,entertainment
কাপ কারা নিবে।?? রাজশাহী নিবে,0,sports
শখ এঁর বুদা বহুত টাইট %,1,entertainment
তারে জুতা দিয়ে পিঠায়া চাকরি থেকে বরখাস্ত করার দাবি।,1,crime
মিথিলা একটা খানকি,1,"Meme, TikTok and others"
তোদের চাইতে বেশ্যা পল্লীর দালাল অনেক ভাল।,1,celebrity
সালা বনডা হেরে পাইলে মার মোও,1,religion
এই চ্যানেল ঘুরে আসুন সব ভাল ভাল হুজুরের ওয়াজ ভন্ডের তালিকায় দেয়া। এই চ্যানেলের এডমিন ইহুদিদের দালাল নাস্তিকের বাচ্ছা,1,religion
শালি চাকরি করতে এসে নষ্টামি করে।।কেনো খালা খালু ঠিক মতো দিতে পারে না। ছি ছি আপনাদের মত নারীর জন্য আজও নারীরা কঙ্ককিত।।তোরে তো জুতা পিটা দেওয়ার দরকার।,1,crime
তোর ভক্তদের জুতা মারি,0,religion
স্যার আপনার সস্তা বৈজ্ঞানিক কল্পকাহিনী পড়তে পড়তে আপনার ফেবুতে পোস্ট গুলাও বৈজ্ঞানিক কল্পকাহিনী মনে হয়।।সাথে আরো মনে হয় এই পরিমান দালালি কেবল কল্প কাহিনীতেই সম্ভব :),0,celebrity
শালা বুড়ো ভাঁড়,1,"Meme, TikTok and others"
হালা তোর বাপ কে চাদে দেখছে শালা জারস সনতান,1,religion
